"Prediction Interval","rho","n_datapoints","forecast_point","bmiz_within_ci","sd"
"95","0.7","6","Mean","76.32%","Combined"
"99","0.9","4","Mean","76.12%","Combined"
"95","0.7","8","Most Recent","75.75%","Combined"
"95","0.9","10","Most Recent","75.63%","Combined"
"95","0.7","10","Most Recent","75.61%","Combined"
"99","0.7","8","Max","75.37%","Combined"
"+/- 0.5 BMIz","0.9","4","Max","75.28%","0.4"
"95","0.9","10","Mean + Most Recent","75.16%","Combined"
"+/- 0.5 BMIz","0.7","8","Mean","73.89%","0.4"
"95","0.7","6","Most Recent","73.79%","Combined"
"99","0.7","10","Max","73.68%","Combined"
"95","0.9","8","Mean + Most Recent","73.46%","Combined"
"99","0.7","4","Max","73.13%","Combined"
"+/- 0.5 BMIz","0.7","6","Mean","72.86%","0.4"
"95","0.9","8","Most Recent","72.67%","Combined"
"95","0.9","6","Mean + Most Recent","72.16%","Combined"
"99","0.9","4","Max","71.95%","Combined"
"+/- 0.5 BMIz","0.7","4","Mean","71.75%","0.4"
"+/- 0.5 BMIz","0.7","10","Mean","71.55%","0.4"
"95","0.9","6","Most Recent","71.54%","Combined"
"+/- 0.5 BMIz","0.7","2","Mean","71.45%","0.4"
"+/- 0.5 BMIz","0.7","8","Most Recent","71.02%","0.4"
"95","0.7","4","Mean + Most Recent","70.90%","Combined"
"+/- 0.5 BMIz","0.7","10","Most Recent","70.70%","0.4"
"95","0.7","4","Mean","70.45%","Combined"
"99","0.9","6","Max","70.32%","Combined"
"+/- 0.5 BMIz","0.9","6","Max","70.00%","0.4"
"+/- 0.5 BMIz","0.9","8","Max","69.91%","0.4"
"99","0.9","8","Max","69.84%","Combined"
"95","0.9","8","Mean","69.65%","Combined"
"95","0.9","10","Mean","69.37%","Combined"
"+/- 0.5 BMIz","0.7","2","Mean + Most Recent","69.36%","0.4"
"+/- 0.5 BMIz","0.7","6","Mean + Most Recent","69.11%","0.4"
"99","0.9","10","Max","68.81%","Combined"
"95","0.9","4","Mean + Most Recent","68.76%","Combined"
"95","0.9","4","Most Recent","68.73%","Combined"
"+/- 0.5 BMIz","0.7","6","Most Recent","68.57%","0.4"
"+/- 0.5 BMIz","0.7","2","Most Recent","68.50%","0.4"
"95","0.7","4","Most Recent","68.40%","Combined"
"95","0.9","6","Mean","68.37%","Combined"
"+/- 0.5 BMIz","0.7","8","Mean + Most Recent","67.82%","0.4"
"+/- 0.5 BMIz","0.9","10","Max","67.32%","0.4"
"+/- 0.5 BMIz","0.7","4","Mean + Most Recent","66.93%","0.4"
"+/- 0.5 BMIz","0.7","4","Most Recent","66.35%","0.4"
"+/- 0.5 BMIz","0.7","2","Max","66.18%","0.4"
"99","0.7","2","Mean + Most Recent","65.95%","Combined"
"+/- 0.5 BMIz","0.7","10","Mean + Most Recent","65.85%","0.4"
"99","0.7","2","Most Recent","65.70%","Combined"
"99","0.7","2","Mean","65.58%","Combined"
"95","0.9","4","Mean","65.54%","Combined"
"99","0.7","2","Max","64.90%","Combined"
"95","0.7","6","Max","64.42%","Combined"
"95","0.7","8","Max","61.19%","Combined"
"95","0.7","4","Max","60.99%","Combined"
"99","0.9","2","Most Recent","60.82%","Combined"
"99","0.9","2","Mean + Most Recent","60.14%","Combined"
"95","0.9","4","Max","59.85%","Combined"
"99","0.9","2","Mean","59.53%","Combined"
"95","0.7","2","Mean","59.09%","Combined"
"95","0.7","10","Max","58.85%","Combined"
"95","0.7","2","Mean + Most Recent","58.79%","Combined"
"+/- 0.5 BMIz","0.7","4","Max","58.56%","0.4"
"99","0.9","2","Max","58.56%","Combined"
"95","0.7","2","Most Recent","57.80%","Combined"
"+/- 0.5 BMIz","0.7","6","Max","57.29%","0.4"
"95","0.7","2","Max","57.07%","Combined"
"95","0.9","6","Max","56.86%","Combined"
"95","0.9","8","Max","56.00%","Combined"
"95","0.9","10","Max","54.56%","Combined"
"+/- 0.5 BMIz","0.7","8","Max","54.09%","0.4"
"95","0.9","2","Mean + Most Recent","53.60%","Combined"
"95","0.9","2","Mean","52.80%","Combined"
"95","0.9","2","Most Recent","52.38%","Combined"
"+/- 0.5 BMIz","0.7","10","Max","51.96%","0.4"
"95","0.9","2","Max","48.89%","Combined"
